Entity,Entity,"Hospital beds (per 100,000)",doc,BED,New tests per thousand
,Algeria,0.358974359,0.160756417,,0.005783893
,Argentina,0.564102564,0.62124621,,0.023445827
,Australia,0.91025641,0.538230505,0.020446034,0.287712686
,Austria,0.897435897,0.560994782,0.011982677,0.230095609
,Bangladesh,0.012820513,0.061444555,,
,Belarus,0.987179487,0.934534328,,0.347536642
,Belgium,0.782051282,0.587343445,0.016604854,0.277161746
,Brazil,0.435897436,0.290613898,0.325469239,
,Brunei,0.448717949,0.229942121,,
,Cambodia,0.102564103,0.03380473,,
,Canada,0.58974359,0.41913392,0.021863334,0.246395
,Chile,0.384615385,0.209818705,0.010858396,0.158239466
,China,0.333333333,0.284879937,,
,Colombia,0.179487179,0.271230238,0.052807795,0.021705295
,Costa Rica,0.256410256,0.212648404,0.003969979,0.017585239
,Croatia,0.743589744,0.515111461,,0.08411034
,Czech Republic,0.858974359,0.636719704,0.014615647,0.145841215
,Denmark,0.641025641,0.651037621,0.003700741,0.503305991
,Ecuador,0.230769231,0.266579205,,0.023438013
,Egypt,0.269230769,0.330680284,,
,Estonia,0.833333333,0.76752123,0.001467739,0.301275219
,Finland,0.846153846,0.60776498,0.007612196,0.147969216
,France,0.884615385,0.550343561,0.083380299,0.007167655
,Gambia,0.115384615,0.017779663,,
,Georgia,0.756410256,1,,
,Germany,0.923076923,0.782874325,0.130144049,
,Ghana,0.128205128,0.018239765,,0.133341748
,Greece,0.602564103,0.72379595,0.012854187,0.089751501
,Hong Kong,0.525641026,0.19452098,,
,Hungary,0.820512821,0.621321139,0.014643448,0.085055368
,Iceland,0.871794872,0.586375587,0.000211159,1
,India,0.038461538,0.12132213,0.433591487,0.012784371
,Indonesia,0.076923077,0.027242893,0.146911686,0.003973374
,Iran,0.166666667,0.140380463,,0.062424818
,Ireland,0.653846154,0.574479406,0.003167141,
,Israel,0.615384615,0.783959638,0.005251372,0.311962426
,Italy,0.794871795,0.925978653,0.044697547,0.271124325
,Japan,1,0.335115427,0.385867084,
,Jordan,0.217948718,0.410232221,,
,Kazakhstan,0.961538462,0.823267413,,0.175069963
,Kuwait,0.41025641,0.403439601,,
,Latvia,0.948717949,0.839571463,0.00342888,0.264718918
,Lithuania,0.935897436,0.925734445,0.004509071,0.721551312
,Luxembourg,0.730769231,0.432525876,0.000603225,0.699971135
,Malaysia,0.320512821,0.121272318,,0.060170902
,Mexico,0.153846154,0.397041642,0.069315483,0.003091582
,Myanmar,0.08974359,0.071642753,,0.002653942
,Nepal,0.025641026,0.02665592,,0.004158981
,Netherlands,0.576923077,0.477531294,0.016458737,0.086946766
,New Zealand,0.692307692,0.450831126,0.003443303,0.302748076
,Nigeria,0.192307692,0.049025099,,0.002804734
,Norway,0.538461538,0.567430222,0.005233476,0.297966671
,Pakistan,0.051282051,0.135475445,,0.01048659
,Panama,0.397435897,0.274199335,,0.07335345
,Peru,0.205128205,0.200344495,,0.106164391
,Philippines,0.141025641,0.100716368,,0.018397722
,Poland,0.717948718,0.428433265,0.059470805,0.094454389
,Portugal,0.5,0.544054103,0.008987115,0.357610219
,Qatar,0.307692308,0.468897216,,0.404489445
,Russia,0.974358974,0.940781163,1,0.292966571
,Saudi Arabia,0.294871795,0.31626913,,0.207394526
,Senegal,0.064102564,0.016130641,,0.009296444
,Serbia,0.679487179,0.537744429,,0.14044518
,Singapore,0.474358974,0.30414341,,
,Slovakia,0.807692308,0.737083701,,0.220697537
,Slovenia,0.628205128,0.506051057,0.001963224,0.227432795
,South Africa,0.371794872,0.154298554,0.088691274,0.045576934
,South Korea,0.769230769,0.310479511,,0.060847154
,Spain,0.512820513,0.965250145,0.029888515,
,Sri Lanka,0.461538462,0.077368562,,
,Sweden,0.666666667,0.560218651,0.007202032,
,Switzerland,0.705128205,0.606234248,0.008214921,0.162986232
,Thailand,0.243589744,0.056158758,,0.010058358
,Turkey,0.346153846,0.21316116,0.04616708,0.143314871
,United Arab Emirates,0.282051282,0.331250568,,
,United Kingdom,0.551282051,0.359100734,0.095382723,0.089444192
,Uruguay,0.487179487,0.629247251,,0.080725153
,Vietnam,0.423076923,0.146437106,,0.013598712
